index,L1 norm,Treatment
0,1.6700000000000002,PRIME-SINGLE
1,1.9650000000000003,PRIME-SINGLE
2,1.205,PRIME-SINGLE
3,1.85,PRIME-SINGLE
4,1.0100000000000002,PRIME-SINGLE
5,2.2590000000000003,PRIME-SINGLE
6,0.9060000000000001,PRIME-SINGLE
7,1.3880000000000003,PRIME-SINGLE
8,3.267999999999999,PRIME-SINGLE
9,3.143,PRIME-SINGLE
10,1.8389999999999995,PRIME-SINGLE
11,1.5630000000000002,PRIME-SINGLE
12,2.7040000000000006,PRIME-SINGLE
13,2.6079999999999997,PRIME-SINGLE
14,1.2190000000000003,PRIME-SINGLE
15,2.023,PRIME-SINGLE
16,0.7110000000000002,PRIME-SINGLE
17,1.8050000000000004,PRIME-SINGLE
18,1.7120000000000002,PRIME-SINGLE
19,2.007,PRIME-SINGLE
20,1.247,PRIME-SINGLE
21,1.8459999999999999,PRIME-SINGLE
22,1.052,PRIME-SINGLE
23,2.255,PRIME-SINGLE
24,0.9020000000000001,PRIME-SINGLE
25,1.3840000000000006,PRIME-SINGLE
26,3.3179999999999987,PRIME-SINGLE
27,3.1589999999999994,PRIME-SINGLE
28,1.9009999999999994,PRIME-SINGLE
29,1.625,PRIME-SINGLE
30,2.7199999999999998,PRIME-SINGLE
31,2.604,PRIME-SINGLE
32,1.215,PRIME-SINGLE
33,2.0189999999999997,PRIME-SINGLE
34,0.7530000000000001,PRIME-SINGLE
35,1.8470000000000004,PRIME-SINGLE
36,1.747,PRIME-SINGLE
37,2.024,PRIME-SINGLE
38,1.2820000000000005,PRIME-SINGLE
39,1.8710000000000002,PRIME-SINGLE
40,1.1570000000000003,PRIME-SINGLE
41,2.2340000000000004,PRIME-SINGLE
42,0.9590000000000002,PRIME-SINGLE
43,1.3350000000000004,PRIME-SINGLE
44,3.296999999999999,PRIME-SINGLE
45,3.138,PRIME-SINGLE
46,1.9839999999999993,PRIME-SINGLE
47,1.7300000000000002,PRIME-SINGLE
48,2.6990000000000003,PRIME-SINGLE
49,2.415,PRIME-SINGLE
50,1.078,PRIME-SINGLE
51,1.9059999999999997,PRIME-SINGLE
52,0.8580000000000002,PRIME-SINGLE
53,1.7840000000000003,PRIME-SINGLE
54,2.1939999999999995,PRIME-SINGLE
55,2.5189999999999997,PRIME-SINGLE
56,1.729,PRIME-SINGLE
57,2.374,PRIME-SINGLE
58,1.652,PRIME-SINGLE
59,2.901,PRIME-SINGLE
60,1.5479999999999998,PRIME-SINGLE
61,2.0020000000000002,PRIME-SINGLE
62,3.963999999999998,PRIME-SINGLE
63,3.8049999999999993,PRIME-SINGLE
64,2.5009999999999994,PRIME-SINGLE
65,2.2249999999999996,PRIME-SINGLE
66,3.3659999999999997,PRIME-SINGLE
67,3.1279999999999992,PRIME-SINGLE
68,1.7389999999999999,PRIME-SINGLE
69,2.543,PRIME-SINGLE
70,1.3529999999999998,PRIME-SINGLE
71,2.325,PRIME-SINGLE
72,2.151,PRIME-SINGLE
73,2.5120000000000005,PRIME-SINGLE
74,1.686,PRIME-SINGLE
75,2.301,PRIME-SINGLE
76,1.599,PRIME-SINGLE
77,2.8179999999999996,PRIME-SINGLE
78,1.465,PRIME-SINGLE
79,1.9190000000000005,PRIME-SINGLE
80,3.8809999999999985,PRIME-SINGLE
81,3.721999999999999,PRIME-SINGLE
82,2.4479999999999995,PRIME-SINGLE
83,2.1719999999999997,PRIME-SINGLE
84,3.2829999999999995,PRIME-SINGLE
85,3.167,PRIME-SINGLE
86,1.778,PRIME-SINGLE
87,2.582,PRIME-SINGLE
88,1.2999999999999998,PRIME-SINGLE
89,2.394,PRIME-SINGLE
90,2.221,PRIME-SINGLE
91,2.516,PRIME-SINGLE
92,1.7559999999999998,PRIME-SINGLE
93,2.381,PRIME-SINGLE
94,1.561,PRIME-SINGLE
95,2.7899999999999996,PRIME-SINGLE
96,1.4369999999999998,PRIME-SINGLE
97,1.919,PRIME-SINGLE
98,3.830999999999999,PRIME-SINGLE
99,3.6939999999999995,PRIME-SINGLE
100,2.4099999999999993,PRIME-SINGLE
101,2.134,PRIME-SINGLE
102,3.255,PRIME-SINGLE
103,3.1390000000000002,PRIME-SINGLE
104,1.75,PRIME-SINGLE
105,2.554,PRIME-SINGLE
106,1.262,PRIME-SINGLE
107,2.356,PRIME-SINGLE
108,3.329,PRIME-SINGLE
109,3.5780000000000003,PRIME-SINGLE
110,2.8640000000000003,PRIME-SINGLE
111,3.5090000000000003,PRIME-SINGLE
112,2.6690000000000005,PRIME-SINGLE
113,3.918,PRIME-SINGLE
114,2.5650000000000004,PRIME-SINGLE
115,3.021000000000001,PRIME-SINGLE
116,4.980999999999998,PRIME-SINGLE
117,4.821999999999999,PRIME-SINGLE
118,3.518,PRIME-SINGLE
119,3.242,PRIME-SINGLE
120,4.383,PRIME-SINGLE
121,3.0029999999999992,PRIME-SINGLE
122,2.306,PRIME-SINGLE
123,2.3960000000000004,PRIME-SINGLE
124,2.37,PRIME-SINGLE
125,2.8000000000000007,PRIME-SINGLE
0,3.841999999999999,SINGLE-NO
1,2.819,SINGLE-NO
2,2.909,SINGLE-NO
3,3.3829999999999987,SINGLE-NO
4,1.694,SINGLE-NO
5,2.015,SINGLE-NO
6,1.651,SINGLE-NO
7,2.5909999999999993,SINGLE-NO
8,2.3579999999999997,SINGLE-NO
9,2.011,SINGLE-NO
10,2.218,SINGLE-NO
11,1.999,SINGLE-NO
12,2.124,SINGLE-NO
13,2.1310000000000002,SINGLE-NO
14,1.5330000000000004,SINGLE-NO
15,1.528,SINGLE-NO
16,2.1079999999999997,SINGLE-NO
17,4.137,SINGLE-NO
18,3.114,SINGLE-NO
19,3.204,SINGLE-NO
20,3.677999999999999,SINGLE-NO
21,1.989,SINGLE-NO
22,2.31,SINGLE-NO
23,1.9460000000000002,SINGLE-NO
24,2.9659999999999997,SINGLE-NO
25,2.7329999999999997,SINGLE-NO
26,2.26,SINGLE-NO
27,2.593,SINGLE-NO
28,2.248,SINGLE-NO
29,2.4190000000000005,SINGLE-NO
30,2.426,SINGLE-NO
31,1.85,SINGLE-NO
32,1.8230000000000004,SINGLE-NO
33,2.403,SINGLE-NO
34,3.3769999999999993,SINGLE-NO
35,2.354,SINGLE-NO
36,2.444,SINGLE-NO
37,2.917999999999999,SINGLE-NO
38,1.229,SINGLE-NO
39,1.55,SINGLE-NO
40,1.162,SINGLE-NO
41,2.0039999999999996,SINGLE-NO
42,1.7710000000000001,SINGLE-NO
43,1.546,SINGLE-NO
44,1.6309999999999998,SINGLE-NO
45,1.5340000000000003,SINGLE-NO
46,1.6590000000000003,SINGLE-NO
47,1.666,SINGLE-NO
48,1.09,SINGLE-NO
49,1.0630000000000002,SINGLE-NO
50,1.6429999999999998,SINGLE-NO
51,3.9659999999999993,SINGLE-NO
52,2.9989999999999997,SINGLE-NO
53,3.033,SINGLE-NO
54,3.562999999999999,SINGLE-NO
55,1.8179999999999998,SINGLE-NO
56,2.139,SINGLE-NO
57,1.775,SINGLE-NO
58,2.5989999999999998,SINGLE-NO
59,2.3659999999999997,SINGLE-NO
60,2.1609999999999996,SINGLE-NO
61,2.282,SINGLE-NO
62,2.1790000000000003,SINGLE-NO
63,2.248,SINGLE-NO
64,2.255,SINGLE-NO
65,1.7349999999999999,SINGLE-NO
66,1.7080000000000002,SINGLE-NO
67,2.2319999999999998,SINGLE-NO
68,3.1819999999999995,SINGLE-NO
69,2.159,SINGLE-NO
70,2.249,SINGLE-NO
71,2.722999999999999,SINGLE-NO
72,1.034,SINGLE-NO
73,1.355,SINGLE-NO
74,0.9910000000000001,SINGLE-NO
75,2.0989999999999998,SINGLE-NO
76,1.8659999999999999,SINGLE-NO
77,1.351,SINGLE-NO
78,1.726,SINGLE-NO
79,1.3390000000000002,SINGLE-NO
80,1.4640000000000002,SINGLE-NO
81,1.471,SINGLE-NO
82,0.8950000000000001,SINGLE-NO
83,0.8680000000000002,SINGLE-NO
84,1.448,SINGLE-NO
85,4.300999999999999,SINGLE-NO
86,3.408,SINGLE-NO
87,3.3120000000000003,SINGLE-NO
88,3.9719999999999986,SINGLE-NO
89,1.8969999999999998,SINGLE-NO
90,2.218,SINGLE-NO
91,1.854,SINGLE-NO
92,3.0519999999999996,SINGLE-NO
93,2.8729999999999998,SINGLE-NO
94,2.57,SINGLE-NO
95,2.9749999999999996,SINGLE-NO
96,2.588,SINGLE-NO
97,2.327,SINGLE-NO
98,2.3339999999999996,SINGLE-NO
99,2.144,SINGLE-NO
100,2.117,SINGLE-NO
101,2.311,SINGLE-NO
102,2.983999999999999,SINGLE-NO
103,2.055,SINGLE-NO
104,2.0509999999999997,SINGLE-NO
105,2.618999999999999,SINGLE-NO
106,0.8359999999999999,SINGLE-NO
107,1.157,SINGLE-NO
108,0.7929999999999999,SINGLE-NO
109,1.9009999999999998,SINGLE-NO
110,1.668,SINGLE-NO
111,1.2170000000000003,SINGLE-NO
112,1.6219999999999999,SINGLE-NO
113,1.235,SINGLE-NO
114,1.266,SINGLE-NO
115,1.2730000000000001,SINGLE-NO
116,0.7910000000000001,SINGLE-NO
117,0.7640000000000002,SINGLE-NO
118,1.25,SINGLE-NO
119,3.4299999999999997,SINGLE-NO
120,2.5370000000000004,SINGLE-NO
121,2.4410000000000003,SINGLE-NO
122,3.100999999999999,SINGLE-NO
123,0.4840000000000004,SINGLE-NO
124,0.8050000000000004,SINGLE-NO
125,0.5250000000000004,SINGLE-NO
126,2.1530000000000005,SINGLE-NO
127,1.9740000000000002,SINGLE-NO
128,1.6990000000000005,SINGLE-NO
129,2.0760000000000005,SINGLE-NO
130,1.7170000000000005,SINGLE-NO
131,0.9140000000000006,SINGLE-NO
132,0.9210000000000003,SINGLE-NO
133,1.2730000000000004,SINGLE-NO
134,1.2460000000000004,SINGLE-NO
135,0.8980000000000001,SINGLE-NO
136,5.363999999999997,SINGLE-NO
137,4.470999999999998,SINGLE-NO
138,4.374999999999998,SINGLE-NO
139,5.034999999999997,SINGLE-NO
140,2.2739999999999982,SINGLE-NO
141,2.0649999999999986,SINGLE-NO
142,2.4589999999999983,SINGLE-NO
143,4.1149999999999975,SINGLE-NO
144,3.935999999999998,SINGLE-NO
145,3.6329999999999982,SINGLE-NO
146,4.0379999999999985,SINGLE-NO
147,3.6509999999999985,SINGLE-NO
148,2.5059999999999985,SINGLE-NO
149,2.5189999999999984,SINGLE-NO
150,3.162999999999999,SINGLE-NO
151,3.1799999999999984,SINGLE-NO
152,2.309999999999998,SINGLE-NO
153,5.204999999999999,SINGLE-NO
154,4.311999999999999,SINGLE-NO
155,4.215999999999999,SINGLE-NO
156,4.875999999999998,SINGLE-NO
157,2.220999999999999,SINGLE-NO
158,2.5419999999999994,SINGLE-NO
159,2.299999999999999,SINGLE-NO
160,3.9559999999999986,SINGLE-NO
161,3.7769999999999992,SINGLE-NO
162,3.4739999999999993,SINGLE-NO
163,3.8789999999999996,SINGLE-NO
164,3.4919999999999995,SINGLE-NO
165,2.651,SINGLE-NO
166,2.6579999999999995,SINGLE-NO
167,3.0479999999999996,SINGLE-NO
168,3.0209999999999995,SINGLE-NO
169,2.634999999999999,SINGLE-NO
170,4.030999999999999,SINGLE-NO
171,3.007999999999999,SINGLE-NO
172,3.0979999999999994,SINGLE-NO
173,3.5719999999999983,SINGLE-NO
174,1.8829999999999993,SINGLE-NO
175,2.2039999999999993,SINGLE-NO
176,1.8399999999999994,SINGLE-NO
177,2.947999999999999,SINGLE-NO
178,2.714999999999999,SINGLE-NO
179,2.1999999999999993,SINGLE-NO
180,2.5749999999999993,SINGLE-NO
