SampleID,CollectionDate,Vaccination Status,FarmID,Room,PB2,PB1,PB1-F2,PA,PA-X,HA,NP,NA.,M1,M2,NS1,NS2,Whole,Tajima'D,N,S,Coverage,Ct,Mutation per site
562,3,SINGLE LAIV,9,3,0.000176281,0.000252761,0,0.000235999,4.05E-05,0.000199544,0.000189952,0.000120515,0.000135586,0.000449813,0.00030942,0.000215107,0.000212418,-2.55758,-2.490648,-2.053253,2042.1,28.42,0.00396
582,3,NO VAC,9,7,9.62E-05,7.82E-05,0,0.000104173,0.000104599,0.000229702,0.000247026,5.44E-05,2.95E-05,0.000115076,0.000200345,7.06E-05,0.000125406,-2.463046,-2.310888,-2.130888,4990.7,28.28,0.00411
614,3,NO VAC,9,8,0.000159928,NA,NA,4.74E-05,0,0,5.33E-05,7.99E-05,0,0,4.46E-05,0,6.34E-05,-2.35745,-2.199418,-1.664063,661,27.22,0.00166
474,2,NO VAC,9,3,6.35E-05,0.000166642,0,0.000267322,3.76E-05,0.00026763,0.000245535,5.82E-05,0.000183593,0.000412878,0.000133368,0.00015931,0.000181665,-2.363719,-2.29616,-1.731903,6956,29.02,0.00327
526,2,SINGLE LAIV,9,8,0.000192608,0.000120163,0.000123436,0.000103582,7.51E-05,5.01E-05,0,0.00E+00,6.53E-05,0,0.000125823,0,8.78E-05,-2.260567,-2.134719,-1.601886,4018.5,31.68,0.00206
650,4,NO VAC,9,3,0.000120883,0.000167176,9.94E-05,0.000141622,3.51E-05,0.00011477,7.51E-05,0.00E+00,2.83E-05,0,0,0,9.82E-05,-2.280427,-1.958235,-1.991961,4292.4,25.34,0.00221
670,4,NO VAC,9,7,3.47E-05,7.49E-05,0,1.19E-05,0,1.84E-05,1.45E-05,0.00E+00,0,0,0,0,2.50E-05,-1.695723,-1.088261,-1.509171,10000.9,25.28,0.00076
683,4,NO VAC,9,7,4.38E-05,1.88E-05,0.000178072,0.000144361,3.80E-05,0.000621432,0.000193453,1.89E-05,0,0,0,0.000169071,0.000143785,-1.940522,-1.649555,-1.57756,4994,22.36,0.00107
691,4,PRIME BOOST,9,11,3.90E-05,9.01E-05,0.000144888,4.23E-05,4.00E-05,0.000138609,5.52E-05,3.02E-05,0,0,3.79E-05,0,5.87E-05,-2.100245,-1.787499,-1.737729,6591.7,30.42,0.0016
702,4,SINGLE LAIV,9,8,0.000135939,3.61E-05,0,0,0.00E+00,3.17E-07,1.48E-05,0.00E+00,3.00E-05,0,0,5.66E-05,3.49E-05,-1.847778,-1.59635,-1.350959,8369.6,27.59,0.00099
716,4,SINGLE LAIV,9,10,1.84E-07,4.91E-05,0,2.19E-05,4.38E-06,0.00E+00,0.00E+00,1.93E-06,0,0,0,0,1.23E-05,-1.592083,-1.235496,-1.235522,8743.8,24.21,0.00061
738,5,NO VAC,9,3,0.00E+00,9.78E-05,0,6.80E-05,5.23E-05,NA,5.11E-05,NA,9.50E-05,9.75E-05,0,0.000110828,5.56E-05,-1.721158,-0.8975297,-1.720786,12821.1,16.39,0.0011
758,5,NO VAC,9,7,0.000118897,4.55E-05,0,1.89E-05,5.82E-05,1.90E-05,0.000145351,0.00E+00,0,0.000494318,0,0,6.17E-05,-1.83037,-1.509797,-1.429229,9944.7,25.52,0.00099
771,5,NO VAC,9,9,0.000128177,8.01E-05,0,5.25E-05,5.88E-05,2.57E-05,0.00E+00,0.00E+00,0,0,0.000391732,0.000603996,8.46E-05,-1.758994,-1.522542,-1.347614,8674,15.3,0.00084
779,5,PRIME BOOST,9,11,1.97E-05,5.02E-05,0,6.73E-05,4.21E-05,5.51E-05,1.58E-05,1.89E-05,3.56E-07,0,0,6.58E-05,3.59E-05,-1.89419,-1.738608,-1.219036,10674,24.73,0.00114
