SampleID,CollectionDate,Vaccination Status,FarmID,Room,PB2,PB1,PB1-F2,PA,PA-X,HA,NP,NA.,M1,M2,NS1,NS2,Whole,Tajima'D,N,S,Ct,Coverage,Mutation per site,
562,3,NO VAC,9,3,0.000236584,3.15E-05,0,0.000199775,5.84E-05,2.11E-05,7.85E-05,0.000156128,0,0,3.68E-05,0,0.000109549,-2.278354,-2.162885,-1.613155,28.42,1836.4,0.00168,Need to be updated
564,3,NO VAC,9,3,0.00033629,0,0,0,0,0,0,1.77E-05,0,0,0.000148805,0,6.78E-05,-1.386592,-1.132572,-0.9507648,23.82,5717.5,0.00038,
599,3,NO VAC,9,9,0.000204357,9.91E-06,9.39E-05,0,0,0,0.000333744,3.06E-05,0,0,3.35E-05,6.59E-05,8.02E-05,-1.615911,-1.117409,-1.36845,22.6,6871.9,0.00061,
627,3,SINGLE LAIV,9,10,0.000277798,3.07E-05,0,0,0,0.000174012,0.000383535,0.000267544,0.00011761,0,0.000117887,0.00016393,0.00016125,-2.615557,-2.454094,-2.166583,26.25,630.2,0.00259,
629,3,SINGLE LAIV,9,10,3.90E-05,NA,NA,NA,NA,8.71E-05,9.63E-05,0.00037604,0,0,NA,NA,0.000115808,-2.071634,-1.896135,-1.343535,27.22,823.6,0.0014,
633,3,SINGLE LAIV,9,10,0.000243732,2.09E-05,0.000198325,9.63E-05,0.000101466,6.34E-05,0,7.39E-05,0,0,5.41E-05,0,8.06E-05,-2.26885,-1.925313,-1.924994,24.8,1479.1,0.00152,
635,3,SINGLE LAIV,9,10,1.83E-06,1.03E-05,0,2.87E-05,8.84E-05,0,0,3.96E-06,7.18E-05,0.000185395,6.21E-05,0,1.45E-05,-1.75334,-1.320385,-1.436975,23.18,3501,0.00069,
474,2,NO VAC,9,3,0.000302159,0.000112485,0.000140022,0.000198152,0.000296346,0.000215612,0.000134815,0.000144042,0.000147639,0.000114112,0,0,0.00017168,-2.29951,-2.112181,-1.867719,29.02,3266.3,0.00213,
476,2,NO VAC,9,3,1.23E-05,0.000118523,0,4.64E-05,7.63E-05,0,0,0,0,0,0.000409967,0.000344306,5.63E-05,-2.166134,-1.995576,-1.612225,29.07,7122.8,0.0019,
511,2,NO VAC,9,9,0.000229373,0,0,3.30E-05,5.99E-05,0,0.00033071,2.90E-05,0,0,0,0,8.60E-05,-1.730583,-1.115199,-1.541944,26.75,7062.9,0.00076,
