SampleID,CollectionDate,Vaccination Status,FarmID,Room,PB2_piN,PB2_piS,PB1_piN,PB1_piS,PB1-F2_piN,PB1-F2_piS,PA_piN,PA_piS,PA-X_piN,PA-X_piS,HA_piN,HA_piS,NP_piN,NP_piS,NA_piN,NA_piS,M1_piN,M1_piS,M2_piN,M2_piS,NS1_piN,NS1_piS,NS2_piN,NS2_piS,Whole_piN,Whole_piS
474,2,NO VAC,9,3,0.000100408,0.000988919,3.53E-05,0.000388202,0.000181161,0,0.000122796,0.000475136,0.000378349,0,0.000249418,9.57E-05,0.000175804,0,0.000152912,0.000115206,0.00019428,0,0,0,0,0,0,0,0.000134841,0.000313395
476,2,NO VAC,9,3,0,5.41E-05,0.000102702,0.00017561,0,0,4.01E-05,6.97E-05,3.87E-05,0.000216396,0,0,0,0,0,0,0,0,0,0,0.000342555,0.000639422,0.000270503,0.000645468,4.69E-05,0.000102382
511,2,NO VAC,9,9,0,0.001009735,0,0,0,0,1.28E-05,0.000106845,3.95E-05,0.000136516,0,0,0,0.001430847,3.76E-05,0,0,0,0,0,0,0,0,0,7.57E-06,0.00034198
539,2,SINGLE LAIV,9,10,0,0,0,0,0,0,2.79E-05,8.05E-05,4.60E-05,0.000250147,0,0,0,9.90E-05,0,0,0,0,0,0,4.45E-05,0.000231187,9.09E-05,0,1.09E-05,4.53E-05
541,2,SINGLE LAIV,9,10,6.36E-05,6.69E-05,8.73E-05,0.000331208,0.000170608,0,5.11E-05,0.000587447,6.22E-05,0,0.000120019,0.00029228,5.12E-05,0.000181979,0.000221246,0.000187654,3.54E-05,0.000143348,0,0,7.67E-05,0.002404503,0.000133655,0,8.77E-05,0.000344512
547,2,SINGLE LAIV,9,10,1.31E-05,3.91E-05,5.34E-05,0.000106495,0,0.000874442,3.04E-05,0.00020943,9.37E-05,0,0,0,3.45E-05,0,0.000316988,0.000120101,3.50E-05,0.000131448,0,0,0.000328525,0.000718445,0,0.001037186,7.11E-05,0.000145862
650,4,NO VAC,9,3,0,0,1.25E-05,0.000128465,0,0,3.32E-05,0.001015902,0,0,3.93E-05,0.000136321,2.03E-05,0,2.09E-05,0,0,0,0,0,8.71E-05,0,0,0,2.35E-05,0.000218883
652,4,NO VAC,9,3,2.72E-05,0.000773898,1.41E-05,0.000110778,0,0,0,4.57E-05,0,0.000141919,0,0,0,0,0,0.000369164,0.000115417,0,0,0,0,0,0,0,1.25E-05,0.000193756
683,4,NO VAC,9,7,0,0.000960032,1.77E-05,0,0,0,0,0.000144746,0,0,0,8.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-06,0.000186822
685,4,PRIME BOOST,9,9,0,3.87E-05,1.86E-05,5.91E-05,0,0,3.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70E-05,0.000275744,0,0.000593492,1.20E-05,4.27E-05
687,4,NO VAC,9,9,1.70E-05,0.00066654,7.50E-05,0,0,0,0,0.000475495,0,0,6.28E-05,0,0,0.001364114,0.000442995,0.001487487,6.59E-05,0,0,0,0,0.00013822,9.01E-05,0,7.13E-05,0.000482007
715,4,SINGLE LAIV,9,10,0.000169911,0.00021918,1.62E-05,0,0,0,3.48E-05,0,0.000107136,0,0,0,0,0.001180295,0,0.00016628,0,0,0,0,4.17E-05,0,0,0,4.19E-05,0.000180816
717,4,SINGLE LAIV,9,10,0,0.00095994,0.000289185,0,0,0.009491499,0,4.38E-05,0,0,0,6.12E-05,0,0.000129671,3.72E-05,0,0,0,0,0,0,0,0,0,4.98E-05,0.000337648
720,4,PRIME BOOST,9,10,0,7.90E-05,0.00013109,4.66E-05,0.000343408,0,0.000146877,0.000196879,0.000352203,0,3.39E-05,0,0,0,6.01E-05,0.000111476,0,0,0,0,0.000145936,0,0,0,8.28E-05,5.99E-05
721,4,SINGLE LAIV,9,10,0,0.000173426,1.15E-05,0,0,0,3.84E-05,0.00058534,0.000118229,0,0,0,0,0.000161277,0,0.000149361,0,0,0,0,0,0,0,0,1.35E-05,0.000145677
